id	type
GTEX-YEC4-0526-SM-4W21U	1
GTEX-OHPJ-1026-SM-2HMLE	1
GTEX-ZT9X-0326-SM-51MTE	1
GTEX-11NSD-0326-SM-5A5LS	1
GTEX-132NY-1226-SM-5PNVF	1
GTEX-YFCO-0426-SM-4W1Z7	1
GTEX-OIZG-0526-SM-2HMLF	1
GTEX-OOBJ-0526-SM-48TDK	1
GTEX-1339X-0626-SM-5IJER	1
GTEX-13OW8-1726-SM-5L3GO	1
GTEX-ZTTD-1126-SM-51MRP	1
GTEX-131XH-0426-SM-5DUWU	1
GTEX-XBEW-0226-SM-4AT6A	1
GTEX-YB5E-0726-SM-4VDSH	1
GTEX-13YAN-1026-SM-5O9CF	1
GTEX-U3ZM-0426-SM-57WG1	1
GTEX-12WSH-0126-SM-5GCO3	1
GTEX-WH7G-0726-SM-5EQ6C	1
GTEX-U3ZM-0426-SM-59HKR	1
GTEX-QDVN-0726-SM-2I3FO	1
GTEX-13OVH-1026-SM-5J2NP	1
GTEX-P44H-1126-SM-48TBU	1
GTEX-WHSB-0326-SM-5GICB	1
GTEX-ZA64-0326-SM-5HL8T	1
GTEX-XBED-0826-SM-47JYC	1
GTEX-148VJ-0826-SM-5LU8V	1
GTEX-131XF-1026-SM-5BC6A	1
GTEX-145MN-0926-SM-5NQBT	1
GTEX-QEG5-1126-SM-5SI88	1
GTEX-S4Z8-0426-SM-3K2AH	1
GTEX-WH7G-0726-SM-5EGIX	1
GTEX-Y3I4-0426-SM-4TT29	1
GTEX-144GN-0426-SM-5O9AP	1
GTEX-11NV4-1126-SM-5HL6J	1
GTEX-13NZA-1426-SM-5KM4Y	1
GTEX-13RTJ-1126-SM-5S2UJ	1
GTEX-XQ8I-1126-SM-4BOO2	1
GTEX-145LT-0326-SM-5LUAD	1
GTEX-RVPV-1726-SM-2TF5W	1
GTEX-144GO-0226-SM-5LUB1	1
GTEX-XXEK-0626-SM-4BRWE	1
GTEX-11P7K-0326-SM-59871	1
GTEX-S4Q7-0426-SM-3K2BJ	1
GTEX-144GM-0126-SM-5Q5AX	1
GTEX-NPJ8-0326-SM-2D7VV	1
GTEX-REY6-0426-SM-2TF5G	1
GTEX-RUSQ-0626-SM-2TF5V	1
GTEX-QV44-0926-SM-2S1RH	1
GTEX-11WQK-1226-SM-5GU5Z	1
GTEX-WFG8-0926-SM-3GIKJ	1
GTEX-SIU8-0926-SM-2XCDO	1
GTEX-PSDG-1126-SM-2S1ON	1
GTEX-NPJ8-0326-SM-26GMG	1
GTEX-R55D-0926-SM-3GAEU	1
GTEX-SUCS-0626-SM-5CHQE	1
GTEX-131YS-0926-SM-5IJB9	1
GTEX-X4EO-0926-SM-3P5Z2	1
GTEX-YJ8O-1826-SM-5HL82	1
GTEX-13QBU-0726-SM-5J2OA	1
GTEX-131XW-1126-SM-5EGK4	1
GTEX-RNOR-0726-SM-2TF5I	1
GTEX-ZVZQ-1526-SM-5N9G6	1
GTEX-TMMY-0926-SM-4TT1Z	1
GTEX-Y5V5-0826-SM-4VBQD	1
GTEX-TMMY-0926-SM-33HBG	1
GTEX-13JUV-0526-SM-5K7XE	1
GTEX-XOT4-1426-SM-4B65T	1
GTEX-WYBS-1126-SM-3NMAM	1
GTEX-12WSD-0826-SM-5GCNE	1
GTEX-WRHU-0226-SM-3MJFV	1
GTEX-OXRP-0526-SM-2I3EW	1
GTEX-X4EP-0526-SM-3P5YW	1
GTEX-11ZTS-1226-SM-5EQMQ	1
GTEX-148VI-0226-SM-5RQKA	1
GTEX-ZE7O-0826-SM-57WCP	1
GTEX-13FTY-0126-SM-5J2NZ	1
GTEX-146FH-1226-SM-5NQB6	1
GTEX-13U4I-1426-SM-5J2M3	1
GTEX-PLZ4-0726-SM-2TC6Q	1
GTEX-ZF2S-0626-SM-4WKH2	1
GTEX-OXRO-0326-SM-33HBM	1
GTEX-OHPL-0526-SM-3NM8U	1
GTEX-PX3G-0526-SM-2I3EM	1
GTEX-UJHI-0726-SM-3DB92	1
GTEX-YFC4-1126-SM-5RQJN	1
GTEX-Q734-0626-SM-2I3EF	1
GTEX-12WSG-0326-SM-5FQU3	1
GTEX-OXRK-0926-SM-2HMKP	1
GTEX-ZYVF-1726-SM-5E443	1
GTEX-XMD2-1026-SM-4WWE8	1
GTEX-T6MO-0426-SM-32QOI	1
GTEX-UPIC-0826-SM-3GADQ	1
GTEX-11I78-0126-SM-5HL6F	1
GTEX-RWS6-0226-SM-2XCA9	1
GTEX-1399U-0826-SM-5KM1P	1
GTEX-N7MT-0126-SM-2D7VT	1
GTEX-TMMY-0926-SM-4WKH4	1
GTEX-NL3G-0526-SM-4RTWW	1
GTEX-ZVT3-0926-SM-5GICK	1
GTEX-WWYW-0926-SM-3NB2Z	1
GTEX-1313W-0926-SM-5EQ56	1
GTEX-13PL7-1726-SM-5J2NX	1
GTEX-WYVS-0526-SM-3NM9W	1
GTEX-TMMY-0926-SM-4VBQZ	1
GTEX-11P81-0226-SM-5HL5M	1
GTEX-SN8G-0926-SM-4DM5I	1
GTEX-ZLWG-0626-SM-4WWFR	1
GTEX-P4QT-0526-SM-2I3EX	1
GTEX-RTLS-0926-SM-2TF5X	1
GTEX-QCQG-0326-SM-2I3ES	1
GTEX-ZZPU-0526-SM-5E44U	1
GTEX-147F3-0726-SM-5NQ9U	1
GTEX-Y5LM-0726-SM-4VBRP	1
GTEX-S341-0326-SM-2XCAU	1
GTEX-13NZ8-0326-SM-5L3DF	1
GTEX-13VXT-1426-SM-5LU4B	1
GTEX-ZYFG-0226-SM-5GIDT	1
GTEX-12WSK-0826-SM-5CVNP	1
GTEX-13FTX-0326-SM-5J2NG	1
GTEX-OHPL-0526-SM-2HMIX	1
GTEX-S32W-0326-SM-2XCBI	1
GTEX-13QJC-0526-SM-5RQKB	1
GTEX-145LS-1226-SM-5Q5D9	1
GTEX-1399S-1726-SM-5L3DI	1
GTEX-ZF29-1026-SM-4WKGC	1
GTEX-Y3IK-0626-SM-4WWE4	1
GTEX-Y8LW-0326-SM-4VBQ9	1
GTEX-13O3O-0726-SM-5J1N7	1
GTEX-OHPL-0526-SM-4M1XS	1
GTEX-O5YV-0526-SM-2D7VZ	1
GTEX-O5YV-0526-SM-26GN1	1
GTEX-RU72-0526-SM-2TF5Z	1
GTEX-12WSJ-0226-SM-5GCP7	1
GTEX-1122O-0126-SM-5GICA	1
GTEX-TSE9-0726-SM-3DB8C	1
GTEX-11EMC-0126-SM-5EGKV	1
GTEX-XYKS-0526-SM-4BRW2	1
GTEX-ZPIC-0626-SM-57WDY	1
GTEX-13113-0426-SM-5GCOD	1
GTEX-RU1J-0126-SM-2TF6Y	1
GTEX-XV7Q-0426-SM-4BRVN	1
GTEX-13D11-0326-SM-5LZXX	1
GTEX-R3RS-1026-SM-3GADF	1
